seed,status,score,layout_count,platform_count,ramp_count,reachable_ramps,reachable_platforms,link_segments,link_connections,failed_link_connections,coverage_ratio,base_reachable_ratio,unique_layouts,elevation_span,decoration_count,blocking_ground_decorations,error_count,warning_count,generation_ms,analysis_ms,errors,warnings
1729,INVALID,47.05,8,13,15,9,9,14,7,0,0.170116,0.882419,4,28.361,202,28,1,3,27.713,19.776,unreachable_platforms:4,coverage_capped_by_available_surface|link_platform_intersections:8|raised_links_without_explicit_vertical_transition:14
1730,INVALID,53.083,5,13,14,12,11,11,4,0,0.12374,0.999393,4,31.193,175,28,2,3,31.513,20.657,layout_count_below_minimum|unreachable_platforms:2,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:6
1731,INVALID,65.418,5,5,12,10,5,9,4,0,0.096463,0.999715,3,42.795,163,27,1,3,37.211,23.655,layout_count_below_minimum,coverage_capped_by_available_surface|link_platform_intersections:4|raised_links_without_explicit_vertical_transition:6
1732,INVALID,29.661,7,10,12,6,5,11,6,0,0.156846,0.850201,3,32.146,194,26,2,3,49.532,26.867,unreachable_platforms:5|base_reachable_ratio_too_low:0.850,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:12
1733,INVALID,35.312,6,10,16,10,8,9,5,0,0.153218,0.757926,3,27.698,189,26,2,3,32.442,20.577,unreachable_platforms:2|base_reachable_ratio_too_low:0.758,coverage_capped_by_available_surface|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:10
1734,INVALID,49.111,7,12,13,11,11,12,6,0,0.160693,0.876734,5,36.92,198,27,2,3,32.516,17.631,unreachable_platforms:1|base_reachable_ratio_too_low:0.877,coverage_capped_by_available_surface|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:12
1735,INVALID,39.028,7,13,16,12,11,9,6,1,0.179774,0.704808,5,51.128,198,28,2,4,33.037,15.508,unreachable_platforms:2|base_reachable_ratio_too_low:0.705,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:6|raised_links_without_explicit_vertical_transition:10
1736,INVALID,58.846,6,10,12,8,7,8,5,0,0.150783,0.999899,4,32.694,183,28,1,3,26.763,22.725,unreachable_platforms:3,coverage_capped_by_available_surface|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:9
1737,VALID,72.622,6,7,12,11,7,8,5,2,0.128007,0.999806,4,34.459,179,29,0,4,25.939,21.563,,coverage_capped_by_available_surface|link_connections_without_blocks:2|link_platform_intersections:2|raised_links_without_explicit_vertical_transition:6
1738,INVALID,61.929,10,14,19,17,12,12,9,1,0.221463,0.994713,6,40.901,222,28,1,4,43.958,23.351,unreachable_platforms:2,coverage_capped_by_available_surface|link_connections_without_blocks:1|link_platform_intersections:7|raised_links_without_explicit_vertical_transition:16
